"id","name","slug","abbrev","level","parent"
548,Holyoke,holyoke,,l,1
549,Hopedale,hopedale,,l,1
550,Hopkinton,hopkinton,,l,1
551,Hubbardston,hubbardston,,l,1
552,Hudson,hudson,,l,1
553,Huntington,huntington,,l,1
554,Ipswich,ipswich,,l,1
555,Kingston,kingston,,l,1
556,Lakeville,lakeville,,l,1
557,Lancaster,lancaster,,l,1
558,Lanesborough,lanesborough,,l,1
559,Lee,lee,,l,1
560,Lenox,lenox,,l,1
561,Leominster,leominster,,l,1
562,Leverett,leverett,,l,1
563,Leyden,leyden,,l,1
564,Lincoln,lincoln,,l,1
565,Littleton,littleton,,l,1
566,Ludlow,ludlow,,l,1
567,Lunenburg,lunenburg,,l,1
568,Lynnfield,lynnfield,,l,1
569,Manchester-by-the-Sea,manchester-by-the-sea,,l,1
570,Marblehead,marblehead,,l,1
571,Marion,marion,,l,1
572,Marshfield,marshfield,,l,1
573,Mashpee,mashpee,,l,1
574,Mattapoisett,mattapoisett,,l,1
575,Maynard,maynard,,l,1
576,Medfield,medfield,,l,1
577,Medway,medway,,l,1
578,Melrose,melrose,,l,1
579,Mendon,mendon,,l,1
580,Merrimac,merrimac,,l,1
581,Methuen,methuen,,l,1
582,Middleborough,middleborough,,l,1
583,Middlefield,middlefield,,l,1
584,Millbury,millbury,,l,1
585,Millis,millis,,l,1
586,Millville,millville,,l,1
587,Monroe,monroe,,l,1
588,Monson,monson,,l,1
589,Montague,montague,,l,1
590,Monterey,monterey,,l,1
591,Montgomery,montgomery,,l,1
592,Mount Washington,mount-washington,,l,1
593,Nahant,nahant,,l,1
594,Needham,needham,,l,1
595,New Bedford,new-bedford,,l,1
596,New Braintree,new-braintree,,l,1
597,New Marlborough,new-marlborough,,l,1
598,New Salem,new-salem,,l,1
599,Newbury,newbury,,l,1
600,Newburyport,newburyport,,l,1
603,Norfolk,norfolk,,l,1
604,North Adams,north-adams,,l,1
605,North Attleborough,north-attleborough,,l,1
606,North Brookfield,north-brookfield,,l,1
607,North Reading,north-reading,,l,1
608,Northborough,northborough,,l,1
