"id","name","slug","status","exempt","requires_proxy","jurisdiction","parent","appeal_agency"
23978,Mayor,mayor,approved,False,False,13816,,
23994,Louisiana Department Of Natural Resources,louisiana-department-of-natural-resources,approved,False,False,233,,
23997,"Georgia State University, Atlanta Georgia",georgia-state-university-atlanta-georgia,approved,False,False,325,,
23999,City Of Madison Water Utility,city-of-madison-water-utility,approved,False,False,721,,
24019,West Monroe Police Department,west-monroe-police-department,approved,False,False,16311,,
24020,City Of Defuniak Springs,city-of-defuniak-springs,approved,False,False,10408,,
24022,Designer Selection Board,designer-selection-board,approved,False,False,3,,
4237,New York Attorney General's Charities Bureau,new-york-attorney-generals-charities-bureau,approved,False,False,16,,
402,Federal Financial Institutions Examinations Council,federal-financial-institutions-examinations-council,approved,False,False,10,,
23842,Bedford Police Department,bedford-police-department,approved,False,False,3815,,
23868,TOWN CLERK,smccreadytownofsurfsideflgov,approved,False,False,10569,,
23884,Cicero Police Department,police-department,approved,False,False,7657,,
38586,Delafield Police Department,delafield-police-department-wi,approved,False,False,8683,,
464,"Hays County, TX Office of Emergency Management",hays-county-tx-office-emergency-management,approved,False,False,200,,
23916,Suburban Mobility Authority For Regional Transportation,suburban-mobility-authority-for-regional-transportation,approved,False,False,314,,
476,Texas A & M Engineering Experiment Station,texas-m-engineering-experiment-station,approved,False,False,109,,
23943,Police Department,police-department,approved,False,False,3002,,
11192,Clarke County Sheriff,clarke-county,approved,False,False,4833,,
23956,City Of Oldsmar,city-of-oldsmar,approved,False,False,34,,
23980,City of New Martinsville,new-martinsville,approved,False,False,304,,
24001,Hamden Fire Department,fire-department-hamden,approved,False,False,5592,,
23995,Interior Department Office Of Intergovernmental And External Affairs,interior-department-office-of-intergovernmental-and-external-affairs,approved,False,False,10,,
31099,Prichard Police Department,prichard-police-department,approved,False,False,910,,
41682,Apache Junction Police Department,apache-junction-police-department,approved,False,False,9500,,
24037,Seattle City Clerk,seattle-city-clerk,approved,False,False,69,,
37481,Volusia County Growth And Resource Management,volusia-county-growth-and-resource-management,approved,False,False,10465,,
37474,Growth and Resource Management,volusia-county-code-enforcement-deland,approved,False,False,10465,,
24034,Hasbrouck Heights Police Department,hasbrouck-heights-police-department,approved,False,False,6970,,
37472,"United States Customs And Border Protection, Aguadilla",united-states-customs-and-border-protection-aguadilla,approved,False,False,10,,
24033,Phoenix Community And Economic Development,phoenix-community-and-economic-development,approved,False,False,94,,
37491,"Town Clerk, Bend Or",town-clerk-bend-or,approved,False,False,6537,,
37486,City of Hackensack,hackensack-police-department,approved,False,False,6948,,
489,University of Colorado School of Aerospace Engineering Sciences,university-colorado-school-aerospace-engineering-sciences,approved,False,False,172,,
500,"Golden Gate Bridge, Highway and Transportation District",golden-gate-bridge-highway-and-transportation-district,approved,False,False,52,,
493,University of Maryland Department of Aerospace Engineering,university-maryland-department-aerospace-engineering,approved,False,False,154,,
38620,Hawaii Department Of Law Enforcement,hawaii-department-of-law-enforcement,approved,False,False,247,,
23869,Village Clerk,clerkpinecrest-flgov,approved,False,False,10579,,
20908,Jefferson County Clerk,jefferson-county-clerk,approved,False,True,9038,,
23967,Minot Afb,minot-afb,approved,False,False,10,,
11742,Non-Profit Organizations/ Public Charities Division,the-non-profit-organizations-public-charities-division,approved,False,False,1,,
24210,Guilford County,guilford-county,approved,False,False,4612,,
16594,Municipal Clerk,municipal-clerk,approved,False,False,6871,,
24165,Evanston School District 65,evanston-school-district-65,approved,False,False,7790,,
24038,Senator Pat Toomey,senator-pat-toomey,approved,False,False,48,,
24154,Office Of The Wasington State Governor,office-of-the-wasington-state-governor,approved,False,False,68,,
